Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	O	S	B	T	=	X
															
sub_401000	.text	00401000	0000010B	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_4010A0	.text	004010A0	00000044	00000000		R	.	.	.	.	.	.	.	.	.
sub_4010F0	.text	004010F0	00000027	00000004	00000010	R	.	.	.	.	.	.	.	.	.
sub_401130	.text	00401130	00000011	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_401150	.text	00401150	00000007			R	.	.	.	.	.	.	.	.	.
sub_401160	.text	00401160	00000007			R	.	.	.	.	.	.	.	.	.
sub_401170	.text	00401170	0000000A			R	.	.	.	.	.	.	.	.	.
sub_401180	.text	00401180	0000000A			R	.	.	.	.	.	.	.	.	.
sub_401190	.text	00401190	00000014	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_4011B0	.text	004011B0	00000014	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_4011F0	.text	004011F0	00000030	00000000		R	.	.	.	.	.	.	.	.	.
sub_401220	.text	00401220	000000B3	0000001C	00000004	R	.	.	.	.	.	.	T	.	.
sub_4012F0	.text	004012F0	00000056	00000004		R	.	.	.	.	.	.	.	.	.
sub_401350	.text	00401350	0000019F	00000000		R	.	.	.	.	.	.	.	.	.
sub_4014F0	.text	004014F0	0000001E	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_401510	.text	00401510	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_401520	.text	00401520	00000022	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_401550	.text	00401550	00000025	00000000		R	.	.	.	.	.	.	.	.	.
sub_401580	.text	00401580	000000EC	00000000		R	.	.	.	.	.	.	.	.	.
sub_401670	.text	00401670	00000164	00000020	00000008	R	.	.	.	.	.	.	.	.	.
sub_4017E0	.text	004017E0	000000E2	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4018A0	.text	004018A0	00000098	00000018	00000004	R	.	.	.	.	.	.	T	.	.
sub_401930	.text	00401930	0000008A	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_401990	.text	00401990	000005E8	0000004C	00000008	R	.	.	.	.	.	.	.	.	.
sub_401EE0	.text	00401EE0	000000B5	0000004C		R	.	.	.	.	.	.	.	.	.
sub_401FA0	.text	00401FA0	000014C6	00000328	00000008	R	.	.	.	.	.	.	.	.	.
sub_403330	.text	00403330	000000F4	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_4033D0	.text	004033D0	0000050F	00000128	00000008	R	.	.	.	.	.	.	T	.	.
sub_403840	.text	00403840	000000CE	00000020	00000008	R	.	.	.	.	.	.	T	.	.
sub_4038F0	.text	004038F0	00000084	00000024		R	.	.	.	.	.	.	T	.	.
sub_403980	.text	00403980	00000012	00000000		R	.	.	.	.	.	.	T	.	.
sub_4039A0	.text	004039A0	000000DC	0000001C	00000008	R	.	.	.	.	.	.	T	.	.
sub_403A80	.text	00403A80	00000069	00000000	00000004	R	.	.	.	.	.	.	T	.	.
sub_403AF0	.text	00403AF0	00000735	00000098	00000008	R	.	.	.	.	.	.	T	.	.
sub_404210	.text	00404210	00000175	00000018	00000004	R	.	.	.	.	.	.	T	.	.
sub_404390	.text	00404390	00000372	000000F0	00000008	R	.	.	.	.	.	.	T	.	.
sub_4046B0	.text	004046B0	00000045	00000004		R	.	.	.	.	.	.	T	.	.
sub_404700	.text	00404700	00000023	00000000		R	.	.	.	.	.	.	T	.	.
sub_404730	.text	00404730	000000C6	00000088	00000008	R	.	.	.	.	.	B	T	.	.
sub_4047D0	.text	004047D0	00000169	00000094	00000008	R	.	.	.	.	.	.	T	.	.
sub_4048D0	.text	004048D0	000002CF	000001A8	00000008	R	.	.	.	.	.	.	T	.	.
sub_404B40	.text	00404B40	000006DD	00000048	00000008	R	.	.	.	.	.	.	T	.	.
sub_405190	.text	00405190	0000006D	00000008		R	.	.	.	.	.	.	T	.	.
sub_405200	.text	00405200	0000002B	00000004		R	.	.	.	.	.	.	T	.	.
sub_405230	.text	00405230	000000CD	00000034	0000000C	R	.	.	.	.	.	.	T	.	.
sub_405300	.text	00405300	000000A6	00000010	00000004	R	.	.	.	.	.	.	T	.	.
sub_4053B0	.text	004053B0	0000009D	00000014	00000008	R	.	.	.	.	.	.	T	.	.
sub_405420	.text	00405420	00000090	00000014		R	.	.	.	.	.	.	.	.	.
sub_4054D0	.text	004054D0	0000004B	00000004		R	.	.	.	.	.	.	.	.	.
sub_405520	.text	00405520	000001DD	0000009C	00000008	R	.	.	.	.	.	.	T	.	.
sub_405730	.text	00405730	00000158	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_405800	.text	00405800	00000032	00000004		R	.	.	.	.	.	.	T	.	.
sub_405840	.text	00405840	00000123	0000002C	00000008	R	.	.	.	.	.	.	T	.	.
sub_405940	.text	00405940	000001CA	00000074	00000008	R	.	.	.	.	.	.	.	.	.
sub_405AE0	.text	00405AE0	000001AC	00000064	00000008	R	.	.	.	.	.	.	.	.	.
sub_405C50	.text	00405C50	000003EB	00000238	00000008	R	.	.	.	.	.	.	.	.	.
sub_405FD0	.text	00405FD0	00000050	00000004		R	.	.	.	.	.	.	.	.	.
sub_406020	.text	00406020	0000003A	00000008	00000004	R	.	.	.	.	.	.	.	.	.
sub_406060	.text	00406060	0000003A	00000000		R	.	.	.	.	.	.	.	.	.
sub_4060A0	.text	004060A0	00000048	00000000		R	.	.	.	.	.	.	.	.	.
sub_4060F0	.text	004060F0	00000040	00000008	00000004	R	.	.	.	.	.	.	T	.	.
sub_406130	.text	00406130	0000000F	00000004	00000004	R	.	.	.	.	.	B	T	.	.
sub_406140	.text	00406140	00000015	00000000		R	.	.	.	.	.	.	.	.	.
sub_406190	.text	00406190	0000000F	00000004	00000004	R	.	.	.	.	.	B	T	.	.
sub_4061A0	.text	004061A0	0000000F	00000004	00000004	R	.	.	.	.	.	B	T	.	.
sub_4061B0	.text	004061B0	00000025	0000000C		R	.	.	.	.	.	.	.	.	.
sub_4061E0	.text	004061E0	00000028	00000000	00000004	R	.	.	.	.	.	.	T	.	.
